model,split,auc_roc,gini,ks_stat,n_total,default_rate_pct
XGBoost,oos,0.9925828776317265,0.985165755263453,0.9194726195298204,95730,5.4350778230439785
LightGBM,oos,0.9924051061452724,0.9848102122905449,0.9181337151591479,95730,5.4350778230439785
Random Forest,oos,0.9885402384276081,0.9770804768552162,0.906102861956711,95730,5.4350778230439785
Logistic Regression,oos,0.9780503417810088,0.9561006835620176,0.8753650918276747,95730,5.4350778230439785
Ensemble,oos,0.9899812208810884,0.9799624417621768,0.9108132686756433,95730,5.4350778230439785
XGBoost,oot,0.9858186517232717,0.9716373034465433,0.8892878937209399,231655,3.8889728259696534
LightGBM,oot,0.9857762084368445,0.9715524168736891,0.8895438531587395,231655,3.8889728259696534
Random Forest,oot,0.9822994056328588,0.9645988112657176,0.88322198987111,231655,3.8889728259696534
Logistic Regression,oot,0.9718821706506194,0.9437643413012389,0.8531217955371095,231655,3.8889728259696534
Ensemble,oot,0.9841734933360203,0.9683469866720407,0.8864141491765613,231655,3.8889728259696534
